"Phone","Exercise","BookCost","Sex"
90,0,404,"Male  "
60,60,400,"Male  "
10,240,150,"Male  "
180,150,400,"Female"
25,120,500,"Male  "
30,240,250,"Male  "
420,450,320,"Female"
120,30,300,"Male  "
150,360,343,"Male  "
500,0,250,"Female"
120,30,150,"Male  "
300,120,250,"Female"
120,200,340,"Female"
240,240,320,"Female"
600,360,139,"Male  "
90,300,50,"Male  "
60,300,500,"Male  "
600,70,280,"Female"
90,10,285,"Female"
30,0,385,"Male  "
120,160,200,"Female"
60,60,300,"Female"
150,90,320,"Male  "
300,0,400,"Male  "
90,45,150,"Female"
0,200,350,"Female"
45,240,300,"Male  "
180,240,287,"Female"
30,30,300,"Male  "
30,480,300,"Male  "
75,480,250,"Female"
60,120,227,"Male  "
120,120,350,"Female"
420,0,150,"Female"
45,120,400,"Female"
180,0,160,"Male  "
360,600,300,"Male  "
60,240,175,"Male  "
6,300,280,"Female"
25,90,175,"Male  "
200,120,365,"Female"
30,360,180,"Male  "
390,0,370,"Female"
120,100,500,"Female"
60,30,279,"Male  "
60,300,220,"Male  "
60,300,210,"Female"
40,0,300,"Female"
20,90,290,"Male  "
5,60,280,"Male  "
70,200,425,"Male  "
500,60,200,"Female"
200,0,200,"Female"
70,60,135,"Female"
30,300,145,"Female"
120,1440,250,"Male  "
3,2,200,"Female"
60,300,80,"Male  "
60,60,200,"Male  "
122,360,0,"Male  "
30,0,325,"Female"
200,200,110,"Male  "
30,2,200,"Male  "
70,0,300,"Female"
90,240,450,"Male  "
120,500,250,"Female"
180,180,160,"Female"
100,90,340,"Female"
15,60,275,"Male  "
45,0,150,"Female"
20,0,540,"Male  "
180,120,500,"Female"
300,300,350,"Male  "
35,14,197,"Male  "
120,120,220,"Female"
